"","DATE","STATE","EVTYPE","FATALITIES","INJURIES","PROPDMG","PROPDMGEXP","CROPDMG","CROPDMGEXP","SHORTDATE","PROPDMG_TOTAL","CROPDMG_TOTAL","DAMAGES"
"188100",1993-05-17,"AL","STORM",0,1,0,"",0,"",1993-05-01,0,0,0
"188126",1994-04-15,"AL","WIND",0,2,50,"K",0,"",1994-04-01,0.05,0,0.05
"188147",1995-05-15,"AL","WIND",0,3,0.5,"M",0,"",1995-05-01,0.5,0,0.5
"188175",1995-04-20,"AL","TORNADO",0,6,0.65,"M",0,"",1995-04-01,0.65,0,0.65
"188188",1993-04-19,"AL","WIND",0,2,0,"",0,"",1993-04-01,0,0,0
"188201",1994-06-26,"AL","TORNADO",0,3,500,"K",0,"",1994-06-01,0.5,0,0.5
"188280",1995-05-18,"AL","TORNADO",1,55,5,"M",0,"",1995-05-01,5,0,5
"188299",1995-08-08,"AL","WIND",0,1,8,"K",0,"",1995-08-01,0.008,0,0.008
"188319",1994-06-26,"AL","WIND",0,1,500,"K",0,"",1994-06-01,0.5,0,0.5
"188323",1994-06-26,"AL","TORNADO",0,2,5,"M",0,"",1994-06-01,5,0,5
"188398",1994-03-27,"AL","TORNADO",0,30,5,"M",0,"",1994-03-01,5,0,5
"188409",1995-02-15,"AL","STORM",0,1,5,"K",0,"",1995-02-01,0.005,0,0.005
"188410",1995-02-16,"AL","TORNADO",0,3,500,"K",0.5,"K",1995-02-01,0.5,5e-04,5e-04
"188429",1994-05-03,"AL","STORM",0,3,50,"K",0,"",1994-05-01,0.05,0,0.05
"188433",1994-09-08,"AL","STORM",1,2,5,"K",0,"",1994-09-01,0.005,0,0.005
"188454",1995-07-09,"AL","STORM",1,1,0,"",0,"",1995-07-01,0,0,0
"188481",1995-07-03,"AL","STORM",0,1,0,"",0,"",1995-07-01,0,0,0
"188574",1994-03-27,"AL","TORNADO",0,53,5,"M",0,"",1994-03-01,5,0,5
"188602",1995-07-04,"AL","WIND",3,4,23,"K",0,"",1995-07-01,0.023,0,0.023
"188605",1994-03-27,"AL","TORNADO",22,150,500,"K",50,"M",1994-03-01,0.5,50,50
"188627",1994-06-22,"AL","STORM",0,1,0,"",0,"",1994-06-01,0,0,0
"188629",1995-05-09,"AL","TORNADO",0,1,10,"K",0,"",1995-05-01,0.01,0,0.01
"188642",1995-04-11,"AL","WIND",0,1,0,"",0,"",1995-04-01,0,0,0
"188647",1993-05-03,"AL","TORNADO",0,3,0,"",0,"",1993-05-01,0,0,0
"188661",1994-10-22,"AL","STORM",0,3,50,"K",0,"",1994-10-01,0.05,0,0.05
"188745",1994-06-25,"AL","STORM",0,1,0,"",0,"",1994-06-01,0,0,0
"188746",1994-08-17,"AL","STORM",0,1,5,"K",0,"",1994-08-01,0.005,0,0.005
"188753",1995-04-20,"AL","TORNADO",0,17,0.45,"M",0,"",1995-04-01,0.45,0,0.45
"188904",1993-01-29,"AK","WIND",0,1,5,"K",0,"",1993-01-01,0.005,0,0.005
"188996",1995-01-27,"AK","SURF",1,5,0,"",0,"",1995-01-01,0,0,0
"189068",1993-10-13,"AK","SURF",1,1,0.5,"K",0,"",1993-10-01,5e-04,0,5e-04
"189080",1993-10-09,"AK","WIND",0,1,5,"K",0,"",1993-10-01,0.005,0,0.005
"189139",1995-06-16,"AZ","WIND",0,1,0,"",0,"",1995-06-01,0,0,0
"189155",1995-04-09,"AZ","STORM",10,20,0,"",0,"",1995-04-01,0,0,0
"189171",1994-07-20,"AZ","STORM",0,2,0,"",0,"",1994-07-01,0,0,0
"189213",1995-07-17,"AZ","STORM",0,2,0,"",0,"",1995-07-01,0,0,0
"189215",1995-08-12,"AZ","STORM",0,10,0,"",0,"",1995-08-01,0,0,0
"189243",1993-01-08,"AZ","FLOOD",0,1,5,"M",0,"",1993-01-01,5,0,5
"189266",1993-08-05,"AZ","WIND",0,1,5,"M",0,"",1993-08-01,5,0,5
"189290",1994-03-11,"AZ","STORM",0,2,0,"",0,"",1994-03-01,0,0,0
"189318",1994-09-25,"AZ","STORM",1,2,0,"",0,"",1994-09-01,0,0,0
"189330",1995-07-30,"AZ","STORM",0,24,70,"K",0,"",1995-07-01,0.07,0,0.07
"189332",1995-08-07,"AZ","WIND",0,2,4.1,"M",0,"",1995-08-01,4.1,0,4.1
"189416",1994-09-13,"AZ","WIND",0,9,5,"M",0,"",1994-09-01,5,0,5
"189421",1995-02-14,"AZ","STORM",1,3,0,"",0,"",1995-02-01,0,0,0
"189423",1995-02-21,"AZ","STORM",0,3,0,"",0,"",1995-02-01,0,0,0
"189451",1995-11-01,"AZ","STORM",0,1,0,"",0,"",1995-11-01,0,0,0
"189479",1993-01-07,"AZ","FLOOD",0,7,5,"M",0,"",1993-01-01,5,0,5
"189524",1993-08-29,"AZ","WIND",0,1,500,"K",0,"",1993-08-01,0.5,0,0.5
"189526",1993-09-12,"AZ","WIND",1,2,500,"K",0,"",1993-09-01,0.5,0,0.5
"189543",1995-08-19,"AZ","STORM",1,1,0,"",0,"",1995-08-01,0,0,0
"189609",1994-12-06,"AZ","FOG",0,10,0,"",0,"",1994-12-01,0,0,0
"189625",1994-11-27,"AR","TORNADO",0,3,5,"M",0,"",1994-11-01,5,0,5
"189644",1995-04-11,"AR","WIND",0,2,0,"",0,"",1995-04-01,0,0,0
"189695",1993-05-17,"AR","STORM",0,1,500,"K",0,"",1993-05-01,0.5,0,0.5
"189749",1995-04-19,"AR","STORM",0,1,0,"",0,"",1995-04-01,0,0,0
"189785",1995-09-30,"AR","WIND",0,1,3.5,"M",0,"",1995-09-01,3.5,0,3.5
"189884",1995-05-24,"AR","STORM",0,10,0,"",0,"",1995-05-01,0,0,0
"189930",1995-11-11,"AR","TORNADO",0,2,30,"K",0,"",1995-11-01,0.03,0,0.03
"190059",1995-07-03,"AR","STORM",0,1,0,"",0,"",1995-07-01,0,0,0
"190081",1993-10-16,"AR","WIND",0,1,50,"K",0,"",1993-10-01,0.05,0,0.05
"190147",1994-11-27,"AR","TORNADO",0,2,5,"M",0,"",1994-11-01,5,0,5
"190458",1994-07-26,"AR","WIND",0,1,50,"K",0,"",1994-07-01,0.05,0,0.05
"190554",1994-06-18,"AR","STORM",0,8,0,"",0,"",1994-06-01,0,0,0
"190898",1994-01-27,"AR","STORM",0,1,0,"",0,"",1994-01-01,0,0,0
"191130",1993-03-30,"AR","STORM",0,1,0,"",0,"",1993-03-01,0,0,0
"191266",1995-06-02,"AR","STORM",0,1,0,"",0,"",1995-06-01,0,0,0
"191345",1993-01-19,"CA","STORM",3,5,5,"M",5,"M",1993-01-01,5,5,5
"191346",1993-01-13,"CA","STORM",0,4,50,"M",0,"",1993-01-01,50,0,50
"191449",1993-11-13,"AR","TORNADO",0,11,50,"M",0,"",1993-11-01,50,0,50
"191608",1994-06-07,"AR","STORM",0,1,0,"",0,"",1994-06-01,0,0,0
"191669",1994-07-02,"AR","STORM",1,1,0,"",0,"",1994-07-01,0,0,0
"191670",1994-07-02,"AR","TORNADO",0,1,500,"K",0,"",1994-07-01,0.5,0,0.5
"191717",1995-10-27,"AR","TORNADO",0,6,0,"",0,"",1995-10-01,0,0,0
"191908",1994-11-27,"AR","TORNADO",0,3,500,"K",0,"",1994-11-01,0.5,0,0.5
"192205",1995-11-10,"AR","TORNADO",2,1,0,"",0,"",1995-11-01,0,0,0
"192254",1994-02-10,"CA","TORNADO",0,2,5,"M",0,"",1994-02-01,5,0,5
"192295",1993-10-26,"CA","WIND",0,89,331,"M",0,"",1993-10-01,331,0,331
"192298",1993-11-01,"CA","FIRE",3,150,619,"M",0,"",1993-11-01,619,0,619
"192302",1994-12-08,"CA","WIND",0,1,0,"",0,"",1994-12-01,0,0,0
"192313",1994-04-24,"CA","WIND",0,15,0,"",0,"",1994-04-01,0,0,0
"192340",1994-02-10,"CA","WIND",0,1,0,"",0,"",1994-02-01,0,0,0
"192347",1995-05-19,"CA","WIND",0,1,0,"",0,"",1995-05-01,0,0,0
"192372",1993-01-06,"CA","STORM",10,17,500,"K",500,"K",1993-01-01,0.5,0.5,0.5
"192387",1994-01-15,"CA","FOG",2,32,500,"K",0,"",1994-01-01,0.5,0,0.5
"192429",1995-08-21,"CA","STORM",0,1,0,"",0,"",1995-08-01,0,0,0
"192449",1994-02-17,"CA","FLOOD",0,1,0,"",0,"",1994-02-01,0,0,0
"192472",1993-02-19,"CA","WIND",1,3,5,"M",0,"",1993-02-01,5,0,5
"192475",1993-01-26,"CA","FOG",0,4,0,"",0,"",1993-01-01,0,0,0
"192477",1994-01-15,"CA","FOG",0,8,50,"K",0,"",1994-01-01,0.05,0,0.05
"192482",1993-09-05,"CA","STORM",0,1,0.5,"K",0,"",1993-09-01,5e-04,0,5e-04
"192495",1993-01-17,"CA","TORNADO",0,1,5,"M",0,"",1993-01-01,5,0,5
"192497",1993-02-07,"CA","FLOOD",2,1,0,"",0,"",1993-02-01,0,0,0
"192499",1993-11-11,"CA","TORNADO",0,2,1,"K",0,"",1993-11-01,0.001,0,0.001
"192566",1995-11-12,"CA","FOG",0,15,0,"",0,"",1995-11-01,0,0,0
"192567",1995-11-25,"CA","FOG",0,30,0,"",0,"",1995-11-01,0,0,0
"192569",1995-04-04,"CA","SURF",1,1,100,"K",0,"",1995-04-01,0.1,0,0.1
"192579",1993-02-02,"CA","FOG",2,1,50,"K",0,"",1993-02-01,0.05,0,0.05
"192603",1995-03-10,"CA","STORM",0,1,0,"",0,"",1995-03-01,0,0,0
"192604",1995-03-10,"CA","FLOOD",1,1,0.6,"M",0,"",1995-03-01,0.6,0,0.6
"192620",1993-02-17,"CA","STORM",1,2,500,"K",0,"",1993-02-01,0.5,0,0.5
"192647",1994-09-23,"CA","STORM",0,1,0,"",0,"",1994-09-01,0,0,0
"192648",1994-11-23,"CA","WIND",0,1,0,"",0,"",1994-11-01,0,0,0
"192655",1995-04-09,"CA","SURF",0,1,0,"",0,"",1995-04-01,0,0,0
"192660",1993-12-24,"CA","FOG",0,8,500,"K",0,"",1993-12-01,0.5,0,0.5
"192676",1994-05-19,"CO","WIND",0,6,0,"",0,"",1994-05-01,0,0,0
"192716",1995-08-21,"CO","STORM",0,1,0,"",0,"",1995-08-01,0,0,0
"192769",1995-09-29,"CO","STORM",0,2,0,"",0,"",1995-09-01,0,0,0
"192853",1995-06-27,"CO","STORM",0,1,0,"",0,"",1995-06-01,0,0,0
"192908",1995-01-15,"CO","SNOW",0,4,0,"",0,"",1995-01-01,0,0,0
"192917",1993-02-17,"CO","SNOW",0,2,50,"K",0,"",1993-02-01,0.05,0,0.05
"193002",1994-10-14,"CO","SNOW",0,5,0,"0",0,"",1994-10-01,0,0,0
"193034",1995-02-02,"CO","WIND",0,2,20,"K",0,"",1995-02-01,0.02,0,0.02
"193081",1994-02-11,"CO","SNOW",0,2,50,"K",0,"",1994-02-01,0.05,0,0.05
"193196",1994-09-18,"CO","STORM",0,3,0,"",0,"",1994-09-01,0,0,0
"193223",1994-06-02,"CO","FLOOD",0,2,5,"K",0,"",1994-06-01,0.005,0,0.005
"193227",1994-06-29,"CO","STORM",0,1,0,"",0,"",1994-06-01,0,0,0
"193228",1994-07-14,"CO","STORM",0,1,0,"",0,"",1994-07-01,0,0,0
"193244",1995-06-02,"CO","STORM",0,1,0,"",0,"",1995-06-01,0,0,0
"193258",1995-07-01,"CO","STORM",1,1,0,"",0,"",1995-07-01,0,0,0
"193260",1995-07-09,"CO","STORM",1,1,0,"",0,"",1995-07-01,0,0,0
"193293",1994-06-19,"CO","FLOOD",0,1,0,"",0,"",1994-06-01,0,0,0
"193302",1994-09-01,"CO","FLOOD",0,2,0,"",0,"",1994-09-01,0,0,0
"193312",1994-08-03,"CO","STORM",0,6,0,"",0,"",1994-08-01,0,0,0
"193328",1995-05-29,"CO","STORM",0,6,0,"",0,"",1995-05-01,0,0,0
"193332",1995-07-04,"CO","STORM",0,2,0,"",0,"",1995-07-01,0,0,0
"193333",1995-07-13,"CO","STORM",0,1,0,"",0,"",1995-07-01,0,0,0
"193345",1995-07-17,"DE","STORM",0,1,0,"",0,"",1995-07-01,0,0,0
"193350",1993-04-05,"FL","TORNADO",0,2,500,"K",0,"",1993-04-01,0.5,0,0.5
"193352",1993-09-14,"FL","STORM",0,1,0,"",0,"",1993-09-01,0,0,0
"193373",1994-09-01,"FL","STORM",0,1,0,"",0,"",1994-09-01,0,0,0
"193374",1994-09-02,"FL","STORM",0,1,0,"",0,"",1994-09-01,0,0,0
"193380",1995-02-03,"FL","WIND",0,10,10,"K",2,"K",1995-02-01,0.01,0.002,0.002
"193389",1994-09-20,"FL","STORM",0,12,0,"",0,"",1994-09-01,0,0,0
"193390",1994-10-16,"FL","WIND",0,4,0,"",0,"",1994-10-01,0,0,0
"193391",1994-11-05,"FL","SURF",0,1,0,"",0,"",1994-11-01,0,0,0
"193429",1995-08-09,"CO","STORM",0,1,0,"",0,"",1995-08-01,0,0,0
"193430",1995-09-04,"CO","STORM",0,2,4.5,"K",0,"",1995-09-01,0.0045,0,0.0045
"193493",1995-08-08,"CO","STORM",0,1,0,"",0,"",1995-08-01,0,0,0
"193495",1993-08-29,"CO","STORM",0,1,0,"",0,"",1993-08-01,0,0,0
"193511",1994-05-19,"CO","STORM",0,1,0,"",0,"",1994-05-01,0,0,0
"193512",1994-05-28,"CO","WIND",0,8,0.5,"K",0,"",1994-05-01,5e-04,0,5e-04
"193513",1994-05-28,"CO","WIND",0,1,0.5,"K",0,"",1994-05-01,5e-04,0,5e-04
"193550",1994-08-02,"CO","STORM",0,3,0,"",0,"",1994-08-01,0,0,0
"193551",1994-08-02,"CO","STORM",0,1,0,"",0,"",1994-08-01,0,0,0
"193557",1994-08-13,"CO","STORM",0,2,0,"",0,"",1994-08-01,0,0,0
"193597",1995-11-30,"CO","WIND",0,1,0,"",0,"",1995-11-01,0,0,0
"193605",1994-06-29,"CO","WIND",0,3,0.5,"K",0,"",1994-06-01,5e-04,0,5e-04
"193717",1995-09-08,"CO","STORM",1,1,0,"",0,"",1995-09-01,0,0,0
"193771",1994-04-23,"CO","STORM",1,2,0,"",0,"",1994-04-01,0,0,0
"193818",1994-08-13,"CO","STORM",0,1,1,"0",0,"",1994-08-01,0,0,0
"193829",1995-06-02,"CO","STORM",0,1,0,"",0,"",1995-06-01,0,0,0
"193855",1995-06-17,"CO","STORM",0,2,0,"",0,"",1995-06-01,0,0,0
"193968",1995-06-02,"CO","STORM",0,1,0,"",0,"",1995-06-01,0,0,0
"193969",1995-06-02,"CO","STORM",0,2,0,"",0,"",1995-06-01,0,0,0
"194002",1995-08-12,"CO","STORM",0,2,0,"",0,"",1995-08-01,0,0,0
"194111",1994-06-12,"CT","STORM",0,1,50,"K",0,"",1994-06-01,0.05,0,0.05
"194123",1995-04-04,"CT","WIND",0,1,0,"",0,"",1995-04-01,0,0,0
"194124",1995-04-04,"CT","WIND",0,1,0,"",0,"",1995-04-01,0,0,0
"194197",1994-07-09,"CT","STORM",0,3,0,"",0,"",1994-07-01,0,0,0
"194270",1993-04-01,"CT","STORM",0,1,0,"",0,"",1993-04-01,0,0,0
"194293",1995-08-04,"CT","STORM",0,1,0,"",0,"",1995-08-01,0,0,0
"194300",1993-08-28,"CT","STORM",0,3,0,"",0,"",1993-08-01,0,0,0
"194371",1994-07-27,"DE","TORNADO",0,4,0.2,"M",0,"",1994-07-01,0.2,0,0.2
"194414",1993-03-13,"DC","STORM",0,2,50,"K",0,"",1993-03-01,0.05,0,0.05
"194418",1993-05-12,"DC","WIND",1,11,50,"K",0,"",1993-05-01,0.05,0,0.05
"194431",1993-03-13,"FL","TORNADO",1,4,5,"M",0,"",1993-03-01,5,0,5
"194432",1993-08-19,"FL","STORM",0,1,0,"",0,"",1993-08-01,0,0,0
"194438",1994-06-15,"FL","WIND",0,1,5,"K",0,"",1994-06-01,0.005,0,0.005
"194443",1995-03-17,"FL","STORM",0,5,0,"",0,"",1995-03-01,0,0,0
"194498",1993-10-08,"FL","STORM",0,1,0,"",0,"",1993-10-01,0,0,0
"194503",1994-06-20,"FL","STORM",0,1,0,"",0,"",1994-06-01,0,0,0
"194504",1994-06-20,"FL","STORM",1,1,0,"",0,"",1994-06-01,0,0,0
"194513",1994-08-06,"FL","STORM",1,2,0,"",0,"",1994-08-01,0,0,0
"194517",1994-09-24,"FL","STORM",0,7,50,"K",0,"",1994-09-01,0.05,0,0.05
"194519",1994-11-15,"FL","TORNADO",1,40,50,"M",0,"",1994-11-01,50,0,50
"194535",1995-07-25,"FL","STORM",0,1,0,"",0,"",1995-07-01,0,0,0
"194538",1995-08-02,"FL","TORNADO",0,1,60,"K",0,"",1995-08-01,0.06,0,0.06
"194544",1993-03-13,"FL","WIND",0,2,50,"K",0,"",1993-03-01,0.05,0,0.05
"194553",1993-04-05,"FL","WIND",0,1,50,"K",0,"",1993-04-01,0.05,0,0.05
"194570",1994-09-07,"FL","STORM",0,1,0,"",0,"",1994-09-01,0,0,0
"194572",1994-09-10,"FL","STORM",0,1,0,"",0,"",1994-09-01,0,0,0
"194575",1994-10-11,"FL","STORM",0,3,0,"",0,"",1994-10-01,0,0,0
"194576",1994-11-08,"FL","WIND",0,1,0,"",0,"",1994-11-01,0,0,0
"194587",1995-03-18,"FL","STORM",0,1,0,"",0,"",1995-03-01,0,0,0
"194590",1995-04-30,"FL","TORNADO",0,3,10,"K",0,"",1995-04-01,0.01,0,0.01
"194593",1995-05-29,"FL","SURF",0,1,0,"",0,"",1995-05-01,0,0,0
"194596",1995-07-02,"FL","WIND",0,1,55,"K",0,"",1995-07-01,0.055,0,0.055
"194602",1995-07-12,"FL","STORM",0,2,0,"",0,"",1995-07-01,0,0,0
"194610",1995-09-01,"FL","STORM",0,2,0,"",0,"",1995-09-01,0,0,0
"194624",1993-04-05,"FL","TORNADO",0,1,5,"M",0,"",1993-04-01,5,0,5
"194643",1995-09-13,"FL","STORM",0,1,0,"",0,"",1995-09-01,0,0,0
"194648",1993-03-12,"FL","TORNADO",0,3,5,"M",0,"",1993-03-01,5,0,5
"194657",1993-09-18,"FL","STORM",0,3,0,"",0,"",1993-09-01,0,0,0
"194663",1994-07-01,"FL","STORM",0,1,0,"",0,"",1994-07-01,0,0,0
"194690",1994-06-16,"FL","STORM",0,3,0,"",0,"",1994-06-01,0,0,0
"194711",1993-08-29,"FL","STORM",0,1,0,"",0,"",1993-08-01,0,0,0
"194731",1995-09-05,"FL","STORM",2,1,0,"",0,"",1995-09-01,0,0,0
"194758",1993-03-13,"FL","WIND",1,1,500,"K",0,"",1993-03-01,0.5,0,0.5
"194763",1993-09-28,"FL","STORM",0,1,0,"",0,"",1993-09-01,0,0,0
"194766",1994-02-26,"FL","STORM",1,6,0,"",0,"",1994-02-01,0,0,0
"194769",1994-06-10,"FL","STORM",0,1,0,"",0,"",1994-06-01,0,0,0
"194775",1994-06-22,"FL","STORM",0,1,0,"",0,"",1994-06-01,0,0,0
"194781",1994-07-07,"FL","STORM",0,2,0,"",0,"",1994-07-01,0,0,0
"194782",1994-07-19,"FL","STORM",0,2,0,"",0,"",1994-07-01,0,0,0
"194783",1994-07-21,"FL","STORM",0,1,0,"",0,"",1994-07-01,0,0,0
"194809",1994-11-15,"FL","STORM",0,1,0,"",0,"",1994-11-01,0,0,0
"194820",1995-03-05,"FL","SURF",0,1,0,"",0,"",1995-03-01,0,0,0
"194823",1995-03-18,"FL","STORM",0,1,0,"",0,"",1995-03-01,0,0,0
"194835",1995-07-09,"FL","STORM",0,1,0,"",0,"",1995-07-01,0,0,0
"194866",1994-08-12,"FL","STORM",0,1,0,"",0,"",1994-08-01,0,0,0
"194870",1993-03-13,"FL","STORM",0,1,5,"M",0,"",1993-03-01,5,0,5
"194887",1993-08-27,"FL","STORM",0,1,0,"",0,"",1993-08-01,0,0,0
"194904",1994-08-27,"FL","SURF",1,1,0,"",0,"",1994-08-01,0,0,0
"194908",1995-05-12,"FL","STORM",0,2,0,"",0,"",1995-05-01,0,0,0
"194945",1993-08-19,"FL","STORM",0,1,0,"",0,"",1993-08-01,0,0,0
"194946",1993-09-04,"FL","STORM",0,1,0.05,"K",0,"",1993-09-01,5e-05,0,5e-05
"194950",1994-06-18,"FL","STORM",0,1,0,"",0,"",1994-06-01,0,0,0
"194954",1995-03-07,"FL","STORM",0,1,10,"K",0,"",1995-03-01,0.01,0,0.01
"194970",1995-06-26,"FL","SURF",1,4,0,"",0,"",1995-06-01,0,0,0
"195011",1994-08-16,"FL","STORM",0,1,50,"M",0,"",1994-08-01,50,0,50
"195017",1994-11-13,"FL","STORM",8,43,500,"K",500,"K",1994-11-01,0.5,0.5,0.5
"195018",1995-08-02,"FL","HURRICANE",0,1,2,"M",0,"",1995-08-01,2,0,2
"195021",1993-04-05,"FL","TORNADO",0,5,5,"M",0,"",1993-04-01,5,0,5
"195027",1994-12-21,"FL","WIND",0,2,500,"K",0,"",1994-12-01,0.5,0,0.5
"195053",1995-12-19,"FL","TORNADO",1,1,30,"K",0,"",1995-12-01,0.03,0,0.03
"195058",1995-07-15,"FL","STORM",0,3,0,"",0,"",1995-07-01,0,0,0
"195067",1993-01-24,"FL","TORNADO",0,2,50,"K",0,"",1993-01-01,0.05,0,0.05
"195082",1993-09-12,"FL","TORNADO",0,3,500,"K",0,"",1993-09-01,0.5,0,0.5
"195085",1994-09-25,"FL","WIND",0,1,0,"",0,"",1994-09-01,0,0,0
"195105",1994-07-01,"FL","STORM",0,1,0,"",0,"",1994-07-01,0,0,0
"195118",1994-10-29,"FL","WIND",0,1,0.5,"K",0,"",1994-10-01,5e-04,0,5e-04
"195169",1994-06-16,"FL","WIND",0,4,500,"K",0,"",1994-06-01,0.5,0,0.5
"195192",1994-08-18,"FL","STORM",0,1,0,"",0,"",1994-08-01,0,0,0
"195230",1995-11-11,"FL","TORNADO",0,2,24,"K",0,"",1995-11-01,0.024,0,0.024
"195240",1993-03-13,"FL","WIND",0,1,500,"K",0,"",1993-03-01,0.5,0,0.5
"195246",1994-07-25,"FL","STORM",0,2,0,"",0,"",1994-07-01,0,0,0
"195279",1993-03-13,"FL","TORNADO",1,60,5,"M",0,"",1993-03-01,5,0,5
"195285",1993-08-24,"FL","STORM",0,1,0,"",0,"",1993-08-01,0,0,0
"195286",1994-08-08,"FL","STORM",0,1,0,"",0,"",1994-08-01,0,0,0
"195293",1995-04-24,"FL","STORM",0,1,0,"",0,"",1995-04-01,0,0,0
"195307",1993-04-05,"FL","WIND",0,1,5,"M",0,"",1993-04-01,5,0,5
"195317",1993-10-21,"FL","STORM",0,1,0,"",0,"",1993-10-01,0,0,0
"195318",1993-10-21,"FL","STORM",0,2,0,"",0,"",1993-10-01,0,0,0
"195319",1993-10-30,"FL","TORNADO",0,1,5,"M",0,"",1993-10-01,5,0,5
"195339",1995-08-15,"FL","WIND",0,1,20,"K",0,"",1995-08-01,0.02,0,0.02
"195371",1993-03-12,"FL","TORNADO",3,10,50,"M",0,"",1993-03-01,50,0,50
"195378",1993-10-30,"FL","TORNADO",0,1,500,"K",0,"",1993-10-01,0.5,0,0.5
"195396",1995-07-09,"FL","STORM",0,1,0,"",0,"",1995-07-01,0,0,0
"195439",1994-08-10,"FL","STORM",0,1,0,"",0,"",1994-08-01,0,0,0
"195450",1995-07-22,"FL","STORM",0,1,0,"",0,"",1995-07-01,0,0,0
"195452",1995-08-10,"FL","STORM",1,2,0,"",0,"",1995-08-01,0,0,0
"195456",1995-08-15,"FL","STORM",0,1,0,"",0,"",1995-08-01,0,0,0
"195465",1993-10-30,"FL","WIND",0,2,0,"",0,"",1993-10-01,0,0,0
"195471",1994-06-16,"FL","FLOOD",0,1,5,"K",0,"",1994-06-01,0.005,0,0.005
"195479",1994-08-01,"FL","WIND",0,2,50,"K",0,"",1994-08-01,0.05,0,0.05
"195484",1995-01-07,"FL","TORNADO",1,20,2.8,"M",0,"",1995-01-01,2.8,0,2.8
"195607",1995-07-06,"FL","STORM",0,1,0,"",0,"",1995-07-01,0,0,0
"195654",1993-03-30,"FL","WIND",0,1,50,"K",0,"",1993-03-01,0.05,0,0.05
"195657",1993-09-10,"FL","STORM",0,1,0,"",0,"",1993-09-01,0,0,0
"195659",1994-09-14,"FL","SURF",0,1,0,"",0,"",1994-09-01,0,0,0
"195673",1995-05-14,"FL","SURF",0,8,0,"",0,"",1995-05-01,0,0,0
"195675",1995-07-17,"FL","STORM",0,7,0,"",0,"",1995-07-01,0,0,0
"195676",1995-07-17,"FL","STORM",0,3,0,"",0,"",1995-07-01,0,0,0
"195677",1995-07-17,"FL","STORM",0,1,0,"",0,"",1995-07-01,0,0,0
"195680",1995-07-27,"FL","STORM",0,1,0,"",0,"",1995-07-01,0,0,0
"195687",1995-10-04,"FL","TORNADO",1,3,300,"K",0,"",1995-10-01,0.3,0,0.3
"195712",1994-07-27,"FL","STORM",0,7,0,"",0,"",1994-07-01,0,0,0
"195720",1994-09-08,"FL","STORM",0,2,0,"",0,"",1994-09-01,0,0,0
"195721",1994-09-08,"FL","STORM",0,1,0,"",0,"",1994-09-01,0,0,0
"195722",1994-09-08,"FL","STORM",0,1,0,"",0,"",1994-09-01,0,0,0
"195729",1994-10-03,"FL","STORM",0,6,0,"",0,"",1994-10-01,0,0,0
"195746",1994-08-23,"FL","STORM",0,1,0,"",0,"",1994-08-01,0,0,0
"195748",1994-08-24,"FL","STORM",0,2,0,"",0,"",1994-08-01,0,0,0
"195767",1993-08-11,"FL","STORM",0,1,0,"",0,"",1993-08-01,0,0,0
"195803",1995-07-02,"FL","STORM",0,1,0,"",0,"",1995-07-01,0,0,0
"195808",1995-08-17,"FL","SURF",0,1,0,"",0,"",1995-08-01,0,0,0
"195822",1993-03-13,"FL","TORNADO",0,11,0,"",0,"",1993-03-01,0,0,0
